Name,Rank,Volume,Price(BTC),Vol/Price,Vol/Rank,URL1
Bitcoin,1,902282000.0,1.00000000,902282000,902282000,http://coinmarketcap.com/currencies/bitcoin
Ethereum,2,334067000.0,0.06271330,5326892381,167033500,http://coinmarketcap.com/currencies/ethereum
Ripple,3,150329000.0,0.00005012,2999381484437,50109666,http://coinmarketcap.com/currencies/ripple
Litecoin,4,245016000.0,0.01544780,15860899286,61254000,http://coinmarketcap.com/currencies/litecoin
Dash,5,26169800.0,0.06030120,433984729,5233960,http://coinmarketcap.com/currencies/dash
Ethereum Classic,6,55241100.0,0.00472584,11689160022,9206850,http://coinmarketcap.com/currencies/ethereum-classic
NEM,7,10509600.0,0.00004046,259752842313,1501371,http://coinmarketcap.com/currencies/nem
Monero,8,13660000.0,0.01679990,813100077,1707500,http://coinmarketcap.com/currencies/monero
Golem,9,9459320.0,0.00016536,57204402515,1051035,http://coinmarketcap.com/currencies/golem-network-tokens
Augur,10,4125380.0,0.01128670,365508075,412538,http://coinmarketcap.com/currencies/augur
Zcash,11,9586520.0,0.06486930,147782078,871501,http://coinmarketcap.com/currencies/zcash
MaidSafeCoin,12,2621990.0,0.00017566,14926505749,218499,http://coinmarketcap.com/currencies/maidsafecoin
Stratis,13,2895190.0,0.00073762,3925042704,222706,http://coinmarketcap.com/currencies/stratis
Gnosis,14,6089270.0,0.05724660,106369111,434947,http://coinmarketcap.com/currencies/gnosis-gno
Dogecoin,15,4835640.0,0.00000049,9868653061224,322376,http://coinmarketcap.com/currencies/dogecoin
PIVX,16,1672130.0,0.00099955,1672882797,104508,http://coinmarketcap.com/currencies/pivx
Decred,17,1300160.0,0.00982408,132344199,76480,http://coinmarketcap.com/currencies/decred
Waves,18,455919.0,0.00046789,974414926,25328,http://coinmarketcap.com/currencies/waves
Factom,19,3248980.0,0.00523409,620734454,170998,http://coinmarketcap.com/currencies/factom
SingularDTV,20,245496.0,0.00007420,3308571428,12274,http://coinmarketcap.com/currencies/singulardtv
Steem,21,907351.0,0.00018875,4807157615,43207,http://coinmarketcap.com/currencies/steem
Round,22,101821.0,0.00005156,1974806051,4628,http://coinmarketcap.com/currencies/round
DigixDAO,23,406109.0,0.02189790,18545568,17656,http://coinmarketcap.com/currencies/digixdao
Lisk,24,2271490.0,0.00038066,5967241107,94645,http://coinmarketcap.com/currencies/lisk
GameCredits,25,961797.0,0.00063187,1522143795,38471,http://coinmarketcap.com/currencies/gamecredits
Stellar Lumens,26,8698060.0,0.00000420,2070966666666,334540,http://coinmarketcap.com/currencies/stellar
iExec RLC,27,813848.0,0.00049909,1630663808,30142,http://coinmarketcap.com/currencies/rlc
Tether,28,54723000.0,0.00061828,88508442776,1954392,http://coinmarketcap.com/currencies/tether
Ardor,29,496724.0,0.00003404,14592361927,17128,http://coinmarketcap.com/currencies/ardor
BitShares,30,2995790.0,0.00001164,257370274914,99859,http://coinmarketcap.com/currencies/bitshares
Peercoin,31,8520480.0,0.00121190,7030679098,274854,http://coinmarketcap.com/currencies/peercoin
Iconomi,32,741544.0,0.00033407,2219726404,23173,http://coinmarketcap.com/currencies/iconomi
BitConnect,33,584078.0,0.00452932,128954898,17699,http://coinmarketcap.com/currencies/bitconnect
Bytecoin,34,135326.0,0.00000015,902173333333,3980,http://coinmarketcap.com/currencies/bytecoin-bcn
Siacoin,35,1818020.0,0.00000095,1913705263157,51943,http://coinmarketcap.com/currencies/siacoin
Byteball,36,64515.3,0.14719200,438307,1792,http://coinmarketcap.com/currencies/byteball
SysCoin,37,1870610.0,0.00004054,46142328564,50557,http://coinmarketcap.com/currencies/syscoin
First Blood,38,1088850.0,0.00024545,4436137706,28653,http://coinmarketcap.com/currencies/first-blood
Komodo,39,363151.0,0.00019812,1832985059,9311,http://coinmarketcap.com/currencies/komodo
Nxt,40,2112310.0,0.00001932,109332815734,52807,http://coinmarketcap.com/currencies/nxt
Melon,41,264070.0,0.02908600,9078938,6440,http://coinmarketcap.com/currencies/melon
Namecoin,42,7108320.0,0.00115858,6135372611,169245,http://coinmarketcap.com/currencies/namecoin
Emercoin,43,463246.0,0.00042486,1090349762,10773,http://coinmarketcap.com/currencies/emercoin
AntShares,44,2134200.0,0.00031005,6883405902,48504,http://coinmarketcap.com/currencies/antshares
Nexus,45,99515.6,0.00030111,330495832,2211,http://coinmarketcap.com/currencies/nexus
Storjcoin X,46,313345.0,0.00027904,1122939363,6811,http://coinmarketcap.com/currencies/storjcoin-x
Wings,47,968184.0,0.00015819,6120386876,20599,http://coinmarketcap.com/currencies/wings
Ark,48,255768.0,0.00014834,1724201159,5328,http://coinmarketcap.com/currencies/ark
Lykke,49,62357.7,0.00009374,665219756,1272,http://coinmarketcap.com/currencies/lykke
Xaurum,50,50218.3,0.00010720,468454291,1004,http://coinmarketcap.com/currencies/xaurum
YbCoin,51,506263.0,0.00353778,143101888,9926,http://coinmarketcap.com/currencies/ybcoin
WeTrust,52,690665.0,0.00011193,6170508353,13282,http://coinmarketcap.com/currencies/trust
BitcoinDark,53,130780.0,0.00788926,16576966,2467,http://coinmarketcap.com/currencies/bitcoindark
Agoras Tokens,54,20624.0,0.00023853,86462918,381,http://coinmarketcap.com/currencies/agoras-tokens
Swarm City,55,316359.0,0.00155555,203374369,5751,http://coinmarketcap.com/currencies/swarm-city
ZCoin,56,1781360.0,0.00470898,378289990,31810,http://coinmarketcap.com/currencies/zcoin
